Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Velvet-leaf, Piemarker, Indian mallow	Abutilon theophrasti	It grows to 1 m tall, and has velvet-like heart-shaped leaves 15–25 cm broad. The flowers are yellow or orange, 4 cm diameter, maturing into button-shaped capsules which split lengthwise to release the seeds. The flowers and plants have a fruity scent. Velvetleaf grows as a weed primarily in cropland, especially corn fields, and it can also be found on roadsides and in gardens.[2] Velvetleaf prefers rich and cultivated soils, such as those used in agriculture.			 Abutilon abutilon, Abutilon avicennae	Mallow (Malvaceae)	nonnative								yellow, orange	raceme, cyme	radial	5	Jul, Aug, Sept, Oct	alternate	simple	cordiform	finely toothed, entire	yes	branched	round	fuzzy	106, 60	upright no/few branches	singular		
Common yarrow, Milfoil	Achillea millefolium				Achillea angustissima, Achillea aspleniifolia, Achillea eradiata, Achillea gracilis, Achillea lanulosa, Achillea laxiflora, Achillea millefolium, Achillea occidentalis, Achillea rosea, Achillea tomentosa	Aster, Daisy (Asteraceae)	native		Swedes used yarrow instead of hops to make beer and considered the beer to be more intoxicating.	Can be toxic in large quantities.					white	corymb	radial	5	Jul, Aug, Sept, Oct	alternate	pinnate, bipinnate	lanceolate, elliptic	lobed	no, yes	branched	round, ridged	fuzzy	45, 16	upright no/few branches	bunches, singular		
Blue giant hyssop, Fragrant giant hyssop, Lavender giant hyssop	Agastache foeniculum	This native perennial plant is 2-3½' tall, branching occasionally near the apex. The four-angled stems are light green and glabrous to finely pubescent. The opposite leaves are up to 4" long and 2" across, and they have short petioles. The leaves are cordate to broadly lanceolate in shape and their margins are crenate to crenate-serrate. The upper surface of the leaves is conspicuously veined and dull green, while the lower surface is white and finely canescent. The foliage has an anise scent. 			Agastache anethiodora, Stachys foeniculum	Mint (Lamiaceae)	native								blue	spike	bilateral	5	Jul, Aug, Sept	opposite	simple	cordiform	coarsely toothed	yes	branched	square, ridged	hairless, hairy	91, 50	upright branching	bunches		
Garlic mustard	Alliaria petiolata	It is a herbaceous biennial plant growing from a deeply growing, thin, white taproot that is scented like horseradish.  In the first year, plants appear as a rosette of green leaves close to  the ground; these rosettes remain green through the winter and develop  into mature flowering plants the following spring. Second year plants  grow from 30–100 cm (rarely to 130 cm) tall. The leaves are stalked, triangular to heart-shaped, 10–15 cm long (of which about half being the petiole) and 5–9 cm broad, with a coarsely toothed margin. The flowers  are produced in spring and summer in button-like clusters. Each small  flower has four white petals 4–8 mm long and 2–3 mm broad, arranged in a  cross shape. The fruit is an erect, slender, four-sided pod 4 to 5.5 cm long,[3] called a silique, green maturing pale grey-brown, containing two rows of small shiny black seeds  which are released when the pod splits open. A single plant can produce  hundreds of seeds, which scatter as much as several meters from the  parent plant. Depending upon conditions, garlic mustard flowers either self-fertilize or are cross-pollinated by a variety of insects. Self-fertilized  seeds are genetically identical to the parent plant, enhancing its  ability to colonize an area where that genotype is suited to thrive.[4]			Alliaria alliaria, Alliaria petiolata, Arabis petiolata, Erysimum alliaria, Sisymbrium alliaria	Mustard (Brassicaceae)	nonnative	invasive		Leaves can be eaten raw, used in salad and to make pesto. 					white	raceme	radial	4	May, Jun, Jul, Aug, Sept	alternate	simple	cordiform	coarsely toothed	yes	branched	round	hairless, hairy	61, 30	upright no/few branches	singular, bunches, patches		
Nodding wild onion	Allium cernuum	It has an unsheathed slender conic bulb which gradually tapers directly into several keeled grass-like leaves (2–4 mm wide). Each mature bulb bears a single flowering stem, which terminates in a downward nodding umbel of white or rose flowers. Nodding onion blooms in July or August. The flowers mature into spherical crested fruits which later split open to reveal the dark shiny seeds. This plant does not have bulblets in the inflorescence. This plant grows in dry woods, rock outcroppings, and prairies. It is native to North America from New York to British Columbia south to Virginia and Kentucky and south in the mountains. The bulb is edible and has a strong onion flavor. This species is cultivated for its attractive flowers. Allium cernuum form major has larger plants and larger flowers than the normal species.			Allium allegheniense, Allium oxyphilum, Allium recurvatum	Lily (Liliaceae)	native			Can be eaten as a vegetable, pickled, or as seasoning.					white, pink, purple	umbel	radial	6	Jul, Aug	basal	simple	linear	entire	no	parallel	ridged, square	hairless	41, 10	upright no/few branches	bunches, singular		
Prairie wild onion, Autumn wild onion, Wild onion	Allium stellatum	Allium stellatum (Autumn onion, Prairie onion[1]) is a perennial wild onion native to North America, where it grows in rocky, sandy soil.[2] It grows from a bulb to about 1-2 feet (30-60 cm) with tufts of leaves which die back as the scape of pink to purple flowers forms. The bulbs are strongly flavored but can be eaten.[3] The species name stellatum is botanical Latin for "starry", and refers to the umbels. This species was described for science by John Bellenden Ker in the early 19th century.[4]				Lily (Liliaceae)	native			Can be eaten as a vegetable, pickled, or as seasoning.					white, pink, purple	umbel	radial	6	Jul, Aug, Sept	basal	simple	linear	entire	no	parallel	ridged, square	hairless	41, 10	upright no/few branches	bunches, singular		
Pigweed, Redroot, Rough Amaranth, Green Amaranth	Amaranthus retroflexus	Achillea millefolium is an erect herbaceous perennial plant that produces one to several stems 0.2–1 metre (0.66–3.3 ft) in height, and has a spreading rhizomatous  growth form. Leaves are evenly distributed along the stem, with the  leaves near the middle and bottom of the stem being the largest. The  leaves have varying degrees of hairiness (pubescence). The leaves are 5–20 cm long, bipinnate or tripinnate, almost feathery, and arranged spirally on the stems. The leaves are cauline, and more or less clasping.[3] The inflorescence has 4 to 9 phyllaries  and contains ray and disk flowers which are white to pink. The  generally 3 to 8 ray flowers are ovate to round. Disk flowers range from  15 to 40. The inflorescence is produced in a flat-topped cluster. The fruits are small achenes.[3] The plant has a strong, sweet scent, similar to chrysanthemums.[1]				Amaranth (Amaranthaceae)	native	hazardous		Used as a pot herb or as breadstuff.					green	spike	radial	5	Jul, Aug, Sept	alternate	simple	obovate, elliptic	entire, wavy	yes	branched	ridged	fuzzy, hairy	86, 36	upright no/few branches	singular, bunches		
Common ragweed, Short ragweed, Annual bursage	Ambrosia artemisiifolia	Common Ragweed grows to about one meter (3 feet) in height. Its wind-dispersed pollen is a strong allergen to many people with hay fever. Common Ragweed emerges in the late spring, and sets seed in later summer or fall.			Ambrosia elatior, Ambrosia media	Aster, Daisy (Asteraceae)	native	potentially invasive		Cattle and livestock are said to be sickened by eating the plant. 					green	spike	radial	more	Aug, Sept	opposite, alternate	simple	lobed	lobed	yes	branched	round	hairy	74, 53	upright branching	singular		
Giant ragweed	Ambrosia trifida	Ambrosia trifida is an annual plant in the aster family, native throughout much of North America. Its flowers are green and are pollinated by wind rather than by insects, and the pollen is one of the main causes of late summer hay fever. Flowers are borne from midsummer through early fall. The plant is erect, growing to over 6 meters,[2] though 2– 3 meters is more typical.			Ambrosia integrifolia, Ambrosia striata, Ambrosia variabilis	Aster, Daisy (Asteraceae)	native	potentially invasive		Eaten by Native Americans.					green	spike	radial	more	Aug, Sept	opposite, alternate	simple	lobed	lobed, coarsely toothed, doubly toothed	yes	branched	round	hairy	152, 58	upright branching	singular		
Lead plant	Amorpha canescens	Amorpha canescens (Leadplant, Leadplant amorpha, Prairie shoestring) is a 1–3 feet (30–90 cm) tall deciduous shrub in the Pea family (Fabaceae) that is native to North America. It has very small purple flowers which are grouped in racemes.  The compound leaves of this plant appear leaden due to their dense  hairiness. The roots can grow deeper than 4 feet (1.2m). This plant can  be found growing in well drained soils of prairies, bluffs, and open  woodlands.[1]			Amorpha brachycarpa	Bean, Pea (Fabaceae)	native								purple	spike	radial	5	Jun, Jul	alternate	pinnate	divided, oblong	entire	yes	branched	round, ridged	fuzzy	76, 28	upright branching	singular		
